TYPE LAT LON H FREQ A ICAO NAME
T 53.4213 -6.27008 242 118.6 50 EIDW "Dublin"
T 53.9103 -8.81849 665 130.7 50 EIKN "Connaught"
T 52.702 -8.92482 46 118.7 50 EINN "Shannon"
T 52.702 -8.92482 46 121.8 50 EINN "Shannon"
T 55.0442 -8.341 30 129.8 50 EIDL "Donegal"
T 51.8428 -8.49212 502 119.3 50 EICK "Cork"
T 51.8428 -8.49212 502 121.7 50 EICK "Cork"
T 53.3014 -8.93917 81 122.5 50 EICM "Galway"
T 54.2842 -8.59833 15 122.1 50 EISG "Sligo"
T 59.4133 24.8328 132 120.6 50 EETN "Tallinn"
T 15.2919 38.9107 7661 118.1 50 HHAS "Asmara"
T 15.2919 38.9107 7661 121.9 50 HHAS "Asmara"
T 13.4408 -89.0561 101 118 50 MSLP "El Salvador"
T 13.6995 -89.1199 2021 118.3 50 MSSS "Ilopango"
T 9.62506 41.8543 3750 118.3 50 HADR "Aba Tenna Dejazmatch Yilma"
T 49.6752 13.2746 1188 129 50 LKLN "Line"
T 49.6752 13.2746 1188 121.275 50 LKLN "Line"
T 49.6963 18.1111 844 120.8 50 LKMT "Mosnov"
T 50.203 12.915 1989 122.9 50 LKKV "Karlovy Vary"
T 50.2166 14.3958 919 133.075 50 LKVO "Vodochody"
T 50.1008 14.26 1247 118.1 50 LKPR "Ruzyne"
T 50.1008 14.26 1247 119.7 50 LKPR "Ruzyne"
T 49.0294 17.4397 581 120.1 50 LKKU "Kunovice"
T 49.1513 16.6944 777 119.6 50 LKTB "Turany"
T 49.1513 16.6944 777 125.425 50 LKTB "Turany"
T 50.0134 15.7386 741 121.25 50 LKPD "Pardubice"
T 50.0134 15.7386 741 120.2 50 LKPD "Pardubice"
T 48.9464 14.4275 1417 129.25 50 LKCS "Ceske Budejovice"
T 48.9464 14.4275 1417 118.075 50 LKCS "Ceske Budejovice"
T 49.9397 15.3818 794 133 50 LKCV "Caslav"
T 49.9397 15.3818 794 118.25 50 LKCV "Caslav"
T 50.1214 14.5436 939 135.5 50 LKKB "Kbely"
T 50.1214 14.5436 939 120.55 50 LKKB "Kbely"
T 49.4258 17.4047 676 119.75 50 LKPO "Prerov"
T 49.4258 17.4047 676 118.825 50 LKPO "Prerov"
T 4.81981 -52.3604 26 118.1 50 SOCA "Rochambeau"
T 63.7212 23.1431 83 120.1 50 EFKK "Kruunupyy"
T 63.7212 23.1431 83 119.7 50 EFKK "Kruunupyy"
T 63.1271 23.0514 151 122.8 50 EFKA "Kauhava"
T 63.1271 23.0514 151 119.7 50 EFKA "Kauhava"
T 66.5648 25.8304 645 118.7 50 EFRO "Rovaniemi"
T 66.5648 25.8304 645 119.7 50 EFRO "Rovaniemi"
T 60.5141 22.2628 161 118.3 50 EFTU "Turku"
T 60.5141 22.2628 161 119.7 50 EFTU "Turku"
T 65.7819 24.5991 61 119.4 50 EFKE "Kemi Tornio"
T 65.7819 24.5991 61 119.7 50 EFKE "Kemi Tornio"
T 61.4617 21.8 44 119.7 50 EFPO "Pori"
T 61.4617 21.8 44 120.4 50 EFPO "Pori"
T 61.8561 24.7866 479 128.9 50 EFHA "Halli"
T 61.8561 24.7866 479 119.7 50 EFHA "Halli"
T 63.0513 21.7616 19 119.3 50 EFVA "Vaasa"
T 63.0513 21.7616 19 119.7 50 EFVA "Vaasa"
T 62.6589 29.6244 398 120.9 50 EFJO "Joensuu"
T 62.6589 29.6244 398 119.7 50 EFJO "Joensuu"
